timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709693781116,360,studio_apollographql,200,OK,GraphQL 3-1,text,true,,9452,175,30,60,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,359,0,50
1709693781292,190,graphql_braintreepayments,200,OK,GraphQL 3-21,text,true,,102316,143,30,61,https://graphql.braintreepayments.com/explorer/,156,0,17
1709693781333,157,graphql_braintreepayments,200,OK,GraphQL 3-23,text,true,,102316,143,30,61,https://graphql.braintreepayments.com/explorer/,131,0,21
1709693781441,55,buildkiteassets,200,OK,GraphQL 3-20,text,true,,1123,151,31,62,https://buildkiteassets.com/graphql-explorer/index.html,55,0,38
1709693781353,158,graphql_braintreepayments,200,OK,GraphQL 3-24,text,true,,102316,143,32,64,https://graphql.braintreepayments.com/explorer/,131,0,26
1709693781470,58,buildkiteassets,200,OK,GraphQL 3-22,text,true,,1123,151,32,65,https://buildkiteassets.com/graphql-explorer/index.html,58,0,39
1709693781371,160,graphql_braintreepayments,200,OK,GraphQL 3-25,text,true,,102316,143,33,66,https://graphql.braintreepayments.com/explorer/,131,0,25
1709693781482,52,buildkiteassets,200,OK,GraphQL 3-21,text,true,,1123,151,33,66,https://buildkiteassets.com/graphql-explorer/index.html,52,0,37
1709693781491,51,buildkiteassets,200,OK,GraphQL 3-23,text,true,,1123,151,33,67,https://buildkiteassets.com/graphql-explorer/index.html,51,0,34
1709693781391,169,graphql_braintreepayments,200,OK,GraphQL 3-26,text,true,,102316,143,34,69,https://graphql.braintreepayments.com/explorer/,141,0,29
1709693781411,153,graphql_braintreepayments,200,OK,GraphQL 3-27,text,true,,102316,143,34,69,https://graphql.braintreepayments.com/explorer/,125,0,18
1709693781511,58,buildkiteassets,200,OK,GraphQL 3-24,text,true,,1123,151,34,69,https://buildkiteassets.com/graphql-explorer/index.html,58,0,38
1709693781532,48,buildkiteassets,200,OK,GraphQL 3-25,text,true,,1123,151,35,71,https://buildkiteassets.com/graphql-explorer/index.html,48,0,33
1709693781561,49,buildkiteassets,200,OK,GraphQL 3-26,text,true,,1123,151,37,74,https://buildkiteassets.com/graphql-explorer/index.html,49,0,35
1709693781565,52,buildkiteassets,200,OK,GraphQL 3-27,text,true,,1123,151,37,75,https://buildkiteassets.com/graphql-explorer/index.html,52,0,34
1709693781430,190,graphql_braintreepayments,200,OK,GraphQL 3-28,text,true,,102316,143,37,75,https://graphql.braintreepayments.com/explorer/,146,0,26
1709693781452,178,graphql_braintreepayments,200,OK,GraphQL 3-29,text,true,,102316,143,37,75,https://graphql.braintreepayments.com/explorer/,146,0,26
1709693781511,119,graphql_braintreepayments,200,OK,GraphQL 3-32,text,true,,102316,143,37,75,https://graphql.braintreepayments.com/explorer/,82,0,21
1709693781472,159,graphql_braintreepayments,200,OK,GraphQL 3-30,text,true,,102316,143,38,76,https://graphql.braintreepayments.com/explorer/,115,0,24
1709693781491,180,graphql_braintreepayments,200,OK,GraphQL 3-31,text,true,,102316,143,40,80,https://graphql.braintreepayments.com/explorer/,145,0,19
1709693781620,56,buildkiteassets,200,OK,GraphQL 3-28,text,true,,1123,151,40,81,https://buildkiteassets.com/graphql-explorer/index.html,56,0,37
1709693781459,221,steam,200,OK,GraphQL 3-2,text,true,,89384,1367,40,81,https://steamcommunity.com/openid/loginform/?goto=%2Fopenid%2Flogin%3Fopenid.claimed_id%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%252fidentifier_select%26openid.identity%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%252fidentifier_select%26openid.mode%3Dcheckid_setup%26openid.ns%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%26openid.realm%3Dhttps%253a%252f%252fapi.stratz.com%26openid.return_to%3Dhttps%253a%252f%252fapi.stratz.com%252fapi%252fv1%252fuser%252fsteamValidate%253fstate%253dq7Qjt78ueqaDxGVVoegP8i1mupqg6lw0LTbBIAvY0_Yk8-Z0K1xqtMAwBgOAUswaUBf83AaTGYvSiwaL7Kvg0A%2526returnUrl%253dhttps%25253a%25252f%25252fstratz.com%25252f%3Fopenid.claimed_id%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%252Fidentifier_select%26openid.identity%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%252Fidentifier_select%26openid.mode%3Dcheckid_setup%26openid.ns%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%26openid.realm%3Dhttps%253A%252F%252Fapi.stratz.com%26openid.return_to%3Dhttps%253A%252F%252Fapi.stratz.com%252Fapi%252Fv1%252Fuser%252FsteamValidate%253Fstate%253Dq7Qjt78ueqaDxGVVoegP8i1mupqg6lw0LTbBIAvY0_Yk8-Z0K1xqtMAwBgOAUswaUBf83AaTGYvSiwaL7Kvg0A%2526returnUrl%253Dhttps%25253a%25252f%25252fstratz.com%25252f,192,0,68
1709693781280,406,studio_apollographql,200,OK,GraphQL 3-6,text,true,,9452,175,40,81,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,402,0,48
1709693781631,57,buildkiteassets,200,OK,GraphQL 3-29,text,true,,1123,151,40,81,https://buildkiteassets.com/graphql-explorer/index.html,57,0,38
1709693781632,58,buildkiteassets,200,OK,GraphQL 3-30,text,true,,1123,151,40,81,https://buildkiteassets.com/graphql-explorer/index.html,58,0,35
1709693781631,60,buildkiteassets,200,OK,GraphQL 3-32,text,true,,1123,151,41,82,https://buildkiteassets.com/graphql-explorer/index.html,60,0,37
1709693781364,328,studio_apollographql,200,OK,GraphQL 3-14,text,true,,9452,175,41,82,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,327,0,50
1709693781531,166,graphql_braintreepayments,200,OK,GraphQL 3-33,text,true,,102316,143,41,83,https://graphql.braintreepayments.com/explorer/,129,0,21
1709693781476,228,steam,200,OK,GraphQL 3-1,text,true,,89396,1367,41,83,https://steamcommunity.com/openid/loginform/?goto=%2Fopenid%2Flogin%3Fopenid.claimed_id%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%252fidentifier_select%26openid.identity%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%252fidentifier_select%26openid.mode%3Dcheckid_setup%26openid.ns%3Dhttp%253a%252f%252fspecs.openid.net%252fauth%252f2.0%26openid.realm%3Dhttps%253a%252f%252fapi.stratz.com%26openid.return_to%3Dhttps%253a%252f%252fapi.stratz.com%252fapi%252fv1%252fuser%252fsteamValidate%253fstate%253dq7Qjt78ueqaDxGVVoegP8i1mupqg6lw0LTbBIAvY0_Yk8-Z0K1xqtMAwBgOAUswaUBf83AaTGYvSiwaL7Kvg0A%2526returnUrl%253dhttps%25253a%25252f%25252fstratz.com%25252f%3Fopenid.claimed_id%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%252Fidentifier_select%26openid.identity%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%252Fidentifier_select%26openid.mode%3Dcheckid_setup%26openid.ns%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%26openid.realm%3Dhttps%253A%252F%252Fapi.stratz.com%26openid.return_to%3Dhttps%253A%252F%252Fapi.stratz.com%252Fapi%252Fv1%252Fuser%252FsteamValidate%253Fstate%253Dq7Qjt78ueqaDxGVVoegP8i1mupqg6lw0LTbBIAvY0_Yk8-Z0K1xqtMAwBgOAUswaUBf83AaTGYvSiwaL7Kvg0A%2526returnUrl%253Dhttps%25253a%25252f%25252fstratz.com%25252f,198,0,66
1709693781553,168,graphql_braintreepayments,200,OK,GraphQL 3-34,text,true,,102316,143,42,85,https://graphql.braintreepayments.com/explorer/,135,0,21
1709693781572,189,graphql_braintreepayments,200,OK,GraphQL 3-35,text,true,,102316,143,44,89,https://graphql.braintreepayments.com/explorer/,118,0,18
1709693781611,154,graphql_braintreepayments,200,OK,GraphQL 3-37,text,true,,102316,143,44,89,https://graphql.braintreepayments.com/explorer/,87,0,24
1709693781592,189,graphql_braintreepayments,200,OK,GraphQL 3-36,text,true,,102316,143,45,91,https://graphql.braintreepayments.com/explorer/,166,0,24
1709693781697,104,buildkiteassets,200,OK,GraphQL 3-33,text,true,,1121,151,46,93,https://buildkiteassets.com/graphql-explorer/index.html,104,0,80
1709693781631,180,graphql_braintreepayments,200,OK,GraphQL 3-38,text,true,,102316,143,47,94,https://graphql.braintreepayments.com/explorer/,134,0,18
1709693781672,146,buildkiteassets,200,OK,GraphQL 3-31,text,true,,1121,151,47,95,https://buildkiteassets.com/graphql-explorer/index.html,146,0,122
1709693781651,170,graphql_braintreepayments,200,OK,GraphQL 3-39,text,true,,102316,143,47,95,https://graphql.braintreepayments.com/explorer/,137,0,22
1709693781722,102,buildkiteassets,200,OK,GraphQL 3-34,text,true,,1121,151,47,95,https://buildkiteassets.com/graphql-explorer/index.html,102,0,79
1709693781761,72,buildkiteassets,200,OK,GraphQL 3-35,text,true,,1121,151,48,96,https://buildkiteassets.com/graphql-explorer/index.html,72,0,52
1709693781672,163,graphql_braintreepayments,200,OK,GraphQL 3-40,text,true,,102316,143,48,96,https://graphql.braintreepayments.com/explorer/,135,0,23
1709693781765,77,buildkiteassets,200,OK,GraphQL 3-37,text,true,,1121,151,48,97,https://buildkiteassets.com/graphql-explorer/index.html,77,0,52
1709693781218,628,studio_apollographql,200,OK,GraphQL 3-5,text,true,,9452,175,48,97,https://studio.apollographql.com/public/SpaceX-pxxbxen/variant/current/explorer,621,0,55
