Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Rest_Animal_Dog_Kindduff,100,3289,2505,3985,336.25,0.000%,24.55796,24.87,6.91,1036.8
Rest_Animal_Dog_Ceo,100,417,255,655,111.37,0.000%,79.36508,279.87,20.31,3611.0
Rest_Animal_HttpCat,100,902,309,1789,506.66,0.000%,46.57662,941.88,11.19,20707.6
Rest_Animal_Meowfacts,100,140,49,273,64.71,0.000%,63.81621,120.16,8.48,1928.0
Rest_Animal_Placebear,100,7344,414,16888,5003.36,0.000%,5.91541,101.21,1.44,17521.0
Rest_Animal_shibe,100,246,160,621,98.51,0.000%,6.00925,6.13,0.94,1043.8
Rest_Animal_RandomFox,100,383,229,781,107.98,0.000%,5.96944,30.10,1.42,5163.9
Rest_Animal_Xeno_Canto,100,3467,516,25097,5520.21,74.000%,2.43279,432.13,0.76,181890.1
Rest_Animal_Open_Pet_Food_Fact,100,928,635,3348,351.35,0.000%,2.47985,39.91,0.75,16478.4
Rest_Animal_MoveBank,100,1344,929,4853,532.15,0.000%,2.48967,43.62,0.79,17939.5
Rest_Art_Artic1,100,287,53,728,229.00,0.000%,2.62213,9.04,0.52,3531.2
Rest_Art_Artic2,100,141,8,571,188.10,0.000%,2.66759,9.20,0.52,3531.4
Rest_Art_Colourlovers,100,284,90,2654,264.60,0.000%,2.68608,1.46,0.68,557.0
Rest_Art_Emojihub,100,514,273,1518,238.82,0.000%,2.69426,0.82,0.35,311.5
Rest_Art_collectionapi1,100,491,155,1412,233.80,0.000%,2.70944,3.43,0.46,1296.9
Rest_Art_collectionapi2,100,58992,26996,70131,9593.81,0.000%,1.41181,4590.16,0.25,3329287.7
Rest_Art_collectionapi3,100,2480,1033,4521,859.30,0.000%,2.13493,6.64,0.35,3182.8
Rest_Art_placebear1,100,1031,276,3895,899.63,0.000%,2.19660,36.39,0.27,16966.0
Rest_Art_placebear2,100,200,45,1509,277.42,0.000%,2.21405,33.35,0.27,15425.0
Rest_Art_placebear3,100,216,37,2388,359.15,0.000%,2.21548,31.38,0.27,14505.0
Rest_Business_tenders.guru1,100,9822,564,56367,12587.78,0.000%,1.01260,11.11,0.14,11233.6
Rest_Business_tenders.guru2,100,25411,144,84299,16870.89,0.000%,.78577,0.78,0.10,1020.0
Rest_Business_tenders.guru3,100,19543,189,82207,15668.69,0.000%,.48830,8.38,0.07,17582.3
Rest_Business_api.domainsdb,100,6192,311,20729,8579.09,0.000%,.48954,6.37,0.08,13324.7
Rest_Business_freelancer,100,142,31,662,127.58,0.000%,.49263,0.85,0.06,1761.0
Rest_Business_tenders.guru4,100,44057,157,120411,26938.20,1.000%,.41205,1.09,0.06,2715.5
Rest_Business_tenders.guru5,100,45445,194,102666,24587.48,0.000%,.32195,3.53,0.05,11234.1
Rest_Business_tenders.guru6,100,32068,201,79564,15321.91,0.000%,.32056,0.66,0.04,2105.0
Rest_Business_tenders.guru7,100,29902,4057,78671,14153.92,0.000%,.30065,121.52,0.04,413900.0
Rest_Business_smallbusinessbc.ca,100,4184,2925,6934,1007.17,0.000%,.30314,48.89,0.05,165146.2
Rest_Calendar_calapi.inadiutorium1,100,299,220,1152,129.30,0.000%,.30763,0.14,0.05,474.0
Rest_Calendar_calapi.inadiutorium2,100,164,110,2380,226.62,0.000%,.30858,0.15,0.05,484.0
Rest_Calendar_calapi.inadiutorium3,100,150,110,435,53.54,0.000%,.30870,0.16,0.05,544.0
