Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_Email_open.kickbox.com,1,882,882,882,0,0.00%,1.13379,224.23,0.61,202513
GraphQL_Email_mailcheck.ai1,1,492,492,492,0,0.00%,2.03252,32.19,0.28,16219
GraphQL_Email_mailcheck.ai2,1,667,667,667,0,0.00%,1.49925,1.77,0.2,1209
GraphQL_Email_api.eva.pingutil2,1,87,87,87,0,0.00%,11.49425,4.57,1.72,407
GraphQL_Email_api.eva.pingutil3,1,117,117,117,0,0.00%,8.54701,3.31,1.22,397
GraphQL_Email_api.eva.pingutil4,1,1845,1845,1845,0,0.00%,0.54201,0.21,0.08,403
GraphQL_Finance_lookup.binlist.net1,1,817,817,817,0,0.00%,1.22399,0.96,0.16,805
GraphQL_Finance_lookup.binlist.net2,1,305,305,305,0,0.00%,3.27869,1.98,0.42,618
GraphQL_Finance_econdb.com,1,511,511,511,0,0.00%,1.95695,6.58,0.37,3445
GraphQL_Finance_api.fiscaldata.treasury.gov1,1,648,648,648,0,0.00%,1.54321,16.76,0.43,11122
GraphQL_Finance_api.fiscaldata.treasury.gov2,1,180,180,180,0,0.00%,5.55556,190.17,1.06,35052
GraphQL_Finance_api.fiscaldata.treasury.gov3,1,180,180,180,0,0.00%,5.55556,353.78,1.04,65209
GraphQL_Finance_api.fiscaldata.treasury.gov4,1,439,439,439,0,0.00%,2.2779,175.97,0.43,79105
GraphQL_Finance_api.mfapi.in,1,1387,1387,1387,0,0.00%,0.72098,0.52,0.09,736
GraphQL_Finance_api.fiscaldata.treasury.gov5,1,108,108,108,0,0.00%,9.25926,427.3,1.68,47256
GraphQL_Finance_api.fiscaldata.treasury.gov6,1,111,111,111,0,0.00%,9.00901,309.39,1.72,35167
GraphQL_Game_amiiboapi1,1,1852,1852,1852,0,0.00%,0.53996,6.78,0.08,12857
GraphQL_Game_amiiboapi2,1,521,521,521,0,0.00%,1.91939,113.64,0.3,60627
GraphQL_Game_amiiboapi3,1,257,257,257,0,0.00%,3.89105,29.25,0.52,7698
GraphQL_Game_cheapshark1,1,455,455,455,0,0.00%,2.1978,28.66,0.32,13353
GraphQL_Game_cheapshark2,1,212,212,212,0,0.00%,4.71698,168.91,0.74,36668
GraphQL_Game_cheapshark3,1,192,192,192,0,0.00%,5.20833,11.13,0.73,2188
GraphQL_Game_crafatar1,1,357,357,357,0,0.00%,2.80112,2.5,0.52,915
GraphQL_Game_digimoncard,1,564,564,564,0,0.00%,1.77305,2.59,0.59,1496
GraphQL_Game_digimon-api1,1,307,307,307,0,0.00%,3.25733,66.41,0.44,20877
GraphQL_Game_digimon-api2,1,149,149,149,0,0.00%,6.71141,23.14,0.99,3531
