Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Rest_Email_api.eva.pingutil1,1,2288,2288,2288,0.00,0.000%,.43706,0.17,0.06,399.0
Rest_Email_api.guerrillamail,1,1578,1578,1578,0.00,0.000%,.63371,0.64,0.12,1034.0
Rest_Email_open.kickbox.com,1,710,710,710,0.00,0.000%,1.40845,278.05,0.75,202155.0
Rest_Email_mailcheck.ai1,1,396,396,396,0.00,0.000%,2.52525,39.99,0.35,16217.0
Rest_Email_mailcheck.ai2,1,595,595,595,0.00,0.000%,1.68067,2.00,0.23,1219.0
Rest_Email_api.eva.pingutil2,1,82,82,82,0.00,0.000%,12.19512,4.85,1.82,407.0
Rest_Email_api.eva.pingutil3,1,98,98,98,0.00,0.000%,10.20408,3.96,1.45,397.0
Rest_Email_api.eva.pingutil4,1,1484,1484,1484,0.00,0.000%,.67385,0.27,0.10,403.0
Rest_Finance_lookup.binlist.net1,1,556,556,556,0.00,0.000%,1.79856,1.41,0.23,805.0
Rest_Finance_lookup.binlist.net2,1,155,155,155,0.00,0.000%,6.45161,3.94,0.83,626.0
Rest_Finance_econdb.com,1,341,341,341,0.00,0.000%,2.93255,9.87,0.55,3448.0
Rest_Finance_api.fiscaldata.treasury.gov1,1,361,361,361,0.00,0.000%,2.77008,30.09,0.77,11122.0
Rest_Finance_api.fiscaldata.treasury.gov2,1,179,179,179,0.00,0.000%,5.58659,191.23,1.06,35052.0
Rest_Finance_api.fiscaldata.treasury.gov3,1,180,180,180,0.00,0.000%,5.55556,354.41,1.04,65324.0
Rest_Finance_api.fiscaldata.treasury.gov4,1,329,329,329,0.00,0.000%,3.03951,234.46,0.58,78990.0
Rest_Finance_api.mfapi.in,1,955,955,955,0.00,0.000%,1.04712,0.75,0.14,736.0
Rest_Finance_api.fiscaldata.treasury.gov5,1,156,156,156,0.00,0.000%,6.41026,295.82,1.16,47256.0
Rest_Finance_api.fiscaldata.treasury.gov6,1,121,121,121,0.00,0.000%,8.26446,283.82,1.57,35167.0
Rest_Game_amiiboapi1,1,1031,1031,1031,0.00,0.000%,.96993,12.18,0.14,12857.0
Rest_Game_amiiboapi2,1,521,521,521,0.00,0.000%,1.91939,113.64,0.30,60627.0
Rest_Game_amiiboapi3,1,263,263,263,0.00,0.000%,3.80228,28.58,0.51,7698.0
Rest_Game_cheapshark1,1,200,200,200,0.00,0.000%,5.00000,65.18,0.73,13349.0
Rest_Game_cheapshark2,1,492,492,492,0.00,0.000%,2.03252,73.14,0.32,36850.0
Rest_Game_cheapshark3,1,81,81,81,0.00,0.000%,12.34568,26.21,1.72,2174.0
Rest_Game_crafatar1,1,196,196,196,0.00,0.000%,5.10204,4.60,0.95,923.0
Rest_Game_digimoncard,1,187,187,187,0.00,0.000%,5.34759,7.79,1.78,1492.0
Rest_Game_digimon-api1,1,272,272,272,0.00,0.000%,3.67647,74.95,0.50,20877.0
Rest_Game_digimon-api2,1,100,100,100,0.00,0.000%,10.00000,34.48,1.47,3531.0
Rest_Music_a10.gaanacdn,1,333,333,333,0.00,0.000%,3.00300,527.34,0.50,179820.0
Rest_Music_binaryjazz.us,1,513,513,513,0.00,0.000%,1.94932,2.47,0.28,1299.0
Rest_Music_jiosaavn,1,1952,1952,1952,0.00,0.000%,.51230,41.03,0.07,82004.0
Rest_Music_api.lyrics.ovh1,1,506,506,506,0.00,0.000%,1.97628,3.07,0.31,1590.0
Rest_Music_api.lyrics.ovh2,1,251,251,251,0.00,0.000%,3.98406,7.36,0.57,1892.0
Rest_Music_s3.amazonaws1,1,274,274,274,0.00,0.000%,3.64964,61.34,0.53,17211.0
Rest_Music_api.lyrics.ovh3,1,213,213,213,0.00,0.000%,4.69484,5.18,0.69,1129.0
Rest_Music_api.lyrics.ovh4,1,201,201,201,0.00,0.000%,4.97512,11.14,0.71,2293.0
Rest_Music_api.lyrics.ovh5,1,208,208,208,0.00,0.000%,4.80769,6.72,0.72,1431.0
Rest_Music_api.lyrics.ovh6,1,197,197,197,0.00,0.000%,5.07614,7.27,0.68,1467.0
Rest_Social_a.4cdn.org,1,244,244,244,0.00,0.000%,4.09836,146.35,0.50,36567.0
Rest_Social_hacker-news1,1,211,211,211,0.00,0.000%,4.73934,3.47,0.75,749.0
Rest_Social_hacker-news2,1,36,36,36,0.00,0.000%,27.77778,17.06,4.45,629.0
Rest_Social_hacker-news3,1,38,38,38,0.00,0.000%,26.31579,29.32,4.19,1141.0
Rest_Social_hacker-news4,1,39,39,39,0.00,0.000%,25.64103,58.74,4.08,2346.0
Rest_Social_hacker-news5,1,38,38,38,0.00,0.000%,26.31579,19.15,4.19,745.0
Rest_Social_hacker-news6,1,37,37,37,0.00,0.000%,27.02703,12.88,4.30,488.0
Rest_Social_opencollective.com1,1,220,220,220,0.00,0.000%,4.54545,1859.33,0.70,418869.0
Rest_Social_opencollective.com2,1,37,37,37,0.00,0.000%,27.02703,181.85,4.25,6890.0
Rest_Social_opencollective.com3,1,38,38,38,0.00,0.000%,26.31579,168.17,4.50,6544.0
Rest_Security_data.police.uk1,1,434,434,434,0.00,0.000%,2.30415,7.07,0.34,3141.0
Rest_Security_http-observatory.security.mozilla1,1,439,439,439,0.00,0.000%,2.27790,7.01,0.39,3151.0
Rest_Security_http-observatory.security.mozilla2,1,72,72,72,0.00,0.000%,13.88889,7.69,2.37,567.0
Rest_Security_http-observatory.security.mozilla3,1,94,94,94,0.00,0.000%,10.63830,8.40,1.77,809.0
Rest_Security_tls-observatory.services.mozilla1,1,175,175,175,0.00,0.000%,5.71429,19.25,0.92,3450.0
Rest_Security_tls-observatory.services.mozilla2,1,86,86,86,0.00,0.000%,11.62791,71.53,1.79,6299.0
Rest_Security_tls-observatory.services.mozilla3,1,81,81,81,0.00,0.000%,12.34568,41.87,2.00,3473.0
Rest_Security_tls-observatory.services.mozilla4,1,73,73,73,0.00,0.000%,13.69863,9.89,2.15,739.0
Rest_Security_data.police.uk2,1,123,123,123,0.00,0.000%,8.13008,23.80,1.02,2998.0
Rest_Security_data.police.uk3,1,105,105,105,0.00,0.000%,9.52381,31.99,1.41,3440.0
Rest_Transport_api.aviationapi,1,2087,2087,2087,0.00,0.000%,.47916,1449.22,0.07,3097118.0
Rest_Transport_bcferriesapi.ca1,1,294,294,294,0.00,0.000%,3.40136,189.86,0.46,57159.0
Rest_Transport_bcferriesapi.ca2,1,754,754,754,0.00,0.000%,1.32626,32.40,0.52,25015.0
Rest_Transport_refugerestrooms1,1,3817,3817,3817,0.00,0.000%,.26199,1.38,0.06,5380.0
Rest_Transport_refugerestrooms2,1,2096,2096,2096,0.00,0.000%,.47710,0.48,0.11,1032.0
Rest_Transport_refugerestrooms3,1,20582,20582,20582,0.00,0.000%,.04859,0.07,0.01,1475.0
Rest_Transport_refugerestrooms4,1,986,986,986,0.00,0.000%,1.01420,5.31,0.18,5357.0
Rest_Transport_myttc.ca,1,528,528,528,0.00,0.000%,1.89394,12.68,0.30,6858.0
Rest_Transport_v0.ovapi1,1,935,935,935,0.00,0.000%,1.06952,533.57,0.13,510865.0
Rest_Transport_v0.ovapi2,1,263,263,263,0.00,0.000%,3.80228,2075.84,0.48,559049.0
Rest_Movie_anapioficeandfire1,1,189,189,189,0.00,0.000%,5.29101,8.48,0.74,1641.0
Rest_Movie_anapioficeandfire2,1,60,60,60,0.00,0.000%,16.66667,388.33,2.23,23859.0
Rest_Movie_breakingbadquotes1,1,161,161,161,0.00,0.000%,6.21118,3.32,0.84,547.0
