Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,Api_No,Category
Rest_Development__reqres.in2,1,30,30,30,0,0.00%,33.33333,52.15,4,1602,60,Development
Rest_Email_disify1,1,315,315,315,0,0.00%,3.1746,3.33,0.45,1073,61,Email
Rest_Email_disify2,1,125,125,125,0,0.00%,8,8.95,1.3,1145,62,Email
Rest_Email_api.eva.pingutil1,1,5768,5768,5768,0,0.00%,0.17337,0.07,0.03,401,63,Email
Rest_Email_api.guerrillamail,1,1408,1408,1408,0,0.00%,0.71023,0.71,0.13,1030,64,Email
Rest_Email_open.kickbox.com,1,598,598,598,0,0.00%,1.67224,330.16,0.89,202175,65,Email
Rest_Email_mailcheck.ai1,1,419,419,419,0,0.00%,2.38663,37.8,0.33,16218,66,Email
Rest_Email_mailcheck.ai2,1,512,512,512,0,0.00%,1.95312,2.33,0.27,1219,67,Email
Rest_Email_api.eva.pingutil2,1,83,83,83,0,0.00%,12.04819,4.79,1.8,407,68,Email
Rest_Email_api.eva.pingutil3,1,82,82,82,0,0.00%,12.19512,4.73,1.74,397,69,Email
Rest_Email_api.eva.pingutil4,1,1615,1615,1615,0,0.00%,0.6192,0.24,0.09,403,70,Email
Rest_Finance_lookup.binlist.net1,1,593,593,593,0,0.00%,1.68634,1.32,0.22,803,71,Finance
Rest_Finance_lookup.binlist.net2,1,127,127,127,0,100.00%,7.87402,4.18,1.01,543,72,Finance
Rest_Finance_econdb.com,1,307,307,307,0,0.00%,3.25733,10.96,0.61,3447,73,Finance
Rest_Finance_api.fiscaldata.treasury.gov1,1,414,414,414,0,0.00%,2.41546,26.24,0.67,11122,74,Finance
Rest_Finance_api.fiscaldata.treasury.gov2,1,186,186,186,0,0.00%,5.37634,184.64,1.02,35167,75,Finance
Rest_Finance_api.fiscaldata.treasury.gov3,1,177,177,177,0,0.00%,5.64972,360.41,1.06,65324,76,Finance
Rest_Finance_api.fiscaldata.treasury.gov4,1,406,406,406,0,0.00%,2.46305,190.27,0.47,79105,77,Finance
Rest_Finance_api.mfapi.in,1,831,831,831,0,0.00%,1.20337,0.86,0.16,736,78,Finance
Rest_Finance_api.fiscaldata.treasury.gov5,1,116,116,116,0,0.00%,8.62069,397.83,1.57,47256,79,Finance
Rest_Finance_api.fiscaldata.treasury.gov6,1,116,116,116,0,0.00%,8.62069,295.09,1.64,35052,80,Finance
Rest_Game_amiiboapi1,1,1043,1043,1043,0,0.00%,0.95877,12.04,0.13,12857,81,Game
Rest_Game_amiiboapi2,1,532,532,532,0,0.00%,1.8797,111.29,0.29,60627,82,Game
Rest_Game_amiiboapi3,1,268,268,268,0,0.00%,3.73134,28.05,0.5,7698,83,Game
Rest_Game_cheapshark1,1,125,125,125,0,0.00%,8,104.38,1.16,13361,84,Game
Rest_Game_cheapshark2,1,41,41,41,0,0.00%,24.39024,877.67,3.81,36848,85,Game
Rest_Game_cheapshark3,1,34,34,34,0,0.00%,29.41176,62.73,4.11,2184,86,Game
Rest_Game_crafatar1,1,117,117,117,0,0.00%,8.54701,7.68,1.59,920,87,Game
Rest_Game_digimoncard,1,180,180,180,0,0.00%,5.55556,8.07,1.85,1488,88,Game
Rest_Game_digimon-api1,1,183,183,183,0,0.00%,5.46448,111.41,0.74,20877,89,Game
Rest_Game_digimon-api2,1,101,101,101,0,0.00%,9.90099,34.14,1.46,3531,90,Game
Rest_Music_a10.gaanacdn,1,127,127,127,0,0.00%,7.87402,1382.72,1.31,179820,91,Music
Rest_Music_binaryjazz.us,1,217,217,217,0,0.00%,4.60829,5.82,0.66,1293,92,Music
Rest_Music_jiosaavn,1,1679,1679,1679,0,0.00%,0.59559,47.68,0.08,81980,93,Music
Rest_Music_api.lyrics.ovh1,1,422,422,422,0,0.00%,2.36967,3.68,0.37,1590,94,Music
Rest_Music_api.lyrics.ovh2,1,218,218,218,0,0.00%,4.58716,8.48,0.66,1892,95,Music
Rest_Music_s3.amazonaws1,1,241,241,241,0,0.00%,4.14938,69.74,0.61,17211,96,Music
Rest_Music_api.lyrics.ovh3,1,337,337,337,0,0.00%,2.96736,3.27,0.43,1129,97,Music
Rest_Music_api.lyrics.ovh4,1,236,236,236,0,0.00%,4.23729,9.49,0.61,2293,98,Music
Rest_Music_api.lyrics.ovh5,1,237,237,237,0,0.00%,4.21941,5.9,0.63,1431,99,Music
Rest_Music_api.lyrics.ovh6,1,214,214,214,0,0.00%,4.6729,6.69,0.63,1467,100,Music
Rest_Social_a.4cdn.org,1,247,247,247,0,0.00%,4.04858,144.57,0.5,36567,101,Social
Rest_Social_hacker-news1,1,174,174,174,0,0.00%,5.74713,4.2,0.9,749,102,Social
Rest_Social_hacker-news2,1,40,40,40,0,0.00%,25,15.36,4,629,103,Social
Rest_Social_hacker-news3,1,41,41,41,0,0.00%,24.39024,27.18,3.88,1141,104,Social
Rest_Social_hacker-news4,1,40,40,40,0,0.00%,25,57.28,3.98,2346,105,Social
Rest_Social_hacker-news5,1,39,39,39,0,0.00%,25.64103,18.65,4.08,745,106,Social
Rest_Social_hacker-news6,1,40,40,40,0,0.00%,25,11.91,3.98,488,107,Social
Rest_Social_opencollective.com1,1,378,378,378,0,0.00%,2.6455,1082.15,0.41,418869,108,Social
Rest_Social_opencollective.com2,1,37,37,37,0,0.00%,27.02703,181.85,4.25,6890,109,Social
Rest_Social_opencollective.com3,1,36,36,36,0,0.00%,27.77778,177.52,4.75,6544,110,Social
Rest_Security_data.police.uk1,1,433,433,433,0,0.00%,2.30947,7.08,0.34,3141,111,Security
Rest_Security_http-observatory.security.mozilla1,1,263,263,263,0,0.00%,3.80228,11.7,0.66,3151,112,Security
Rest_Security_http-observatory.security.mozilla2,1,76,76,76,0,0.00%,13.15789,7.29,2.25,567,113,Security
Rest_Security_http-observatory.security.mozilla3,1,95,95,95,0,0.00%,10.52632,8.68,1.75,844,114,Security
Rest_Security_tls-observatory.services.mozilla1,1,202,202,202,0,0.00%,4.9505,16.68,0.79,3450,115,Security
Rest_Security_tls-observatory.services.mozilla2,1,77,77,77,0,0.00%,12.98701,79.81,2,6293,116,Security
Rest_Security_tls-observatory.services.mozilla3,1,75,75,75,0,0.00%,13.33333,45.22,2.16,3473,117,Security
Rest_Security_tls-observatory.services.mozilla4,1,70,70,70,0,0.00%,14.28571,10.31,2.25,739,118,Security
Rest_Security_data.police.uk2,1,106,106,106,0,0.00%,9.43396,27.62,1.19,2998,119,Security
Rest_Security_data.police.uk3,1,105,105,105,0,0.00%,9.52381,31.99,1.41,3440,120,Security
Rest_Transport_api.aviationapi,1,2165,2165,2165,0,0.00%,0.46189,1397.02,0.06,3097136,121,Transport
Rest_Transport_bcferriesapi.ca1,1,413,413,413,0,0.00%,2.42131,135.14,0.33,57152,122,Transport
Rest_Transport_bcferriesapi.ca2,1,691,691,691,0,0.00%,1.44718,35.35,0.57,25012,123,Transport
Rest_Transport_refugerestrooms1,1,2067,2067,2067,0,0.00%,0.48379,2.54,0.11,5380,124,Transport
Rest_Transport_refugerestrooms2,1,1888,1888,1888,0,0.00%,0.52966,0.54,0.12,1044,125,Transport
Rest_Transport_refugerestrooms3,1,23669,23669,23669,0,0.00%,0.04225,0.06,0.01,1471,126,Transport
Rest_Transport_refugerestrooms4,1,4057,4057,4057,0,0.00%,0.24649,1.29,0.04,5365,127,Transport
Rest_Transport_myttc.ca,1,438,438,438,0,0.00%,2.28311,15.29,0.36,6858,128,Transport
Rest_Transport_v0.ovapi1,1,971,971,971,0,0.00%,1.02987,513.79,0.12,510865,129,Transport
Rest_Transport_v0.ovapi2,1,252,252,252,0,0.00%,3.96825,2166.45,0.5,559049,130,Transport
Rest_Movie_anapioficeandfire1,1,104,104,104,0,0.00%,9.61538,15.43,1.35,1643,131,Movie
Rest_Movie_anapioficeandfire2,1,28,28,28,0,0.00%,35.71429,832.31,4.78,23864,132,Movie
Rest_Movie_breakingbadquotes1,1,151,151,151,0,0.00%,6.62252,3.38,0.9,523,133,Movie
Rest_Movie_breakingbadquotes2,1,40,40,40,0,0.00%,25,22.34,3.44,915,134,Movie
Rest_Movie_finalspaceapi1,1,1420,1420,1420,0,0.00%,0.70423,1.19,0.09,1732,135,Movie
Rest_Movie_finalspaceapi2,1,29,29,29,0,0.00%,34.48276,506.57,4.58,15043,136,Movie
Rest_Movie_gameofthronesquotes1,1,634,634,634,0,0.00%,1.57729,1.06,0.22,689,137,Movie
Rest_Movie_gameofthronesquotes2,1,48,48,48,0,0.00%,20.83333,33.69,2.91,1656,138,Movie
Rest_Movie_lucifer-quotes1,1,197,197,197,0,0.00%,5.07614,3.06,0.69,618,139,Movie
Rest_Movie_lucifer-quotes2,1,124,124,124,0,0.00%,8.06452,9.51,1.12,1207,140,Movie
Rest_Weather_7timer1,1,80,80,80,0,0.00%,12.5,187.39,2.5,15351,141,Weather
Rest_Weather_7timer2,1,226,226,226,0,0.00%,4.42478,35.53,1.58,8223,142,Weather
Rest_Weather_api.open-meteo1,1,486,486,486,0,0.00%,2.05761,12.09,0.52,6018,143,Weather
Rest_Weather_api.open-meteo2,1,109,109,109,0,0.00%,9.17431,118.86,2.11,13267,144,Weather
Rest_Weather_api.open-meteo3,1,816,816,816,0,0.00%,1.22549,248.2,0.28,207390,145,Weather
Rest_Weather_tilecache.rainviewer1,1,119,119,119,0,0.00%,8.40336,72.69,1.38,8858,146,Weather
Rest_Weather_tilecache.rainviewer2,1,25,25,25,0,0.00%,40,346.45,6.95,8869,147,Weather
Rest_Weather_api.weather.gov1,1,85,85,85,0,0.00%,11.76471,42.88,1.64,3732,148,Weather
Rest_Weather_api.weather.gov2,1,24,24,24,0,0.00%,41.66667,748.98,6.06,18407,149,Weather
Rest_Weather_tilecache.rainviewer3,1,21,21,21,0,0.00%,47.61905,129.23,8.7,2779,150,Weather
GraphQL_Animal_Dog_Kindduff,1,1429,1429,1429,0,0.00%,0.69979,0.71,0.2,1043,151,Animal
GraphQL_Animal_Dog_Ceo,1,1787,1787,1787,0,0.00%,0.5596,1.97,0.14,3614,152,Animal
GraphQL_Animal_HttpCat,1,659,659,659,0,0.00%,1.51745,30.69,0.36,20710,153,Animal
GraphQL_Animal_Meowfacts,1,136,136,136,0,0.00%,7.35294,12.93,0.98,1801,154,Animal
GraphQL_Animal_Placebear,1,692,692,692,0,0.00%,1.44509,24.73,0.35,17521,155,Animal
GraphQL_Animal_shibe,1,405,405,405,0,0.00%,2.46914,2.51,0.39,1042,156,Animal
GraphQL_Animal_RandomFox,1,615,615,615,0,0.00%,1.62602,8.22,0.39,5175,157,Animal
GraphQL_Animal_Xeno_Canto,1,2975,2975,2975,0,0.00%,0.33613,229.16,0.1,698126,158,Animal
GraphQL_Animal_Open_Pet_Food_Fact,1,1735,1735,1735,0,0.00%,0.57637,9.27,0.17,16478,159,Animal
GraphQL_Animal_MoveBank,1,2008,2008,2008,0,0.00%,0.49801,8.73,0.16,17948,160,Animal
GraphQL_Art_Artic1,1,854,854,854,0,0.00%,1.17096,4.17,0.23,3644,161,Art & Design
GraphQL_Art_Artic2,1,512,512,512,0,0.00%,1.95312,6.95,0.38,3644,162,Art & Design
GraphQL_Art_Colourlovers,1,479,479,479,0,0.00%,2.08768,1.14,0.53,557,163,Art & Design
GraphQL_Art_Emojihub,1,618,618,618,0,0.00%,1.61812,0.53,0.21,338,164,Art & Design
GraphQL_Art_collectionapi1,1,247,247,247,0,0.00%,4.04858,5.13,0.68,1298,165,Art & Design
GraphQL_Art_collectionapi2,1,1437,1437,1437,0,0.00%,0.69589,2262.53,0.13,3329284,166,Art & Design
GraphQL_Art_collectionapi3,1,1309,1309,1309,0,0.00%,0.76394,2.37,0.12,3178,167,Art & Design
GraphQL_Art_placebear1,1,294,294,294,0,0.00%,3.40136,56.35,0.42,16966,168,Art & Design
GraphQL_Art_placebear2,1,48,48,48,0,0.00%,20.83333,313.82,2.54,15425,169,Art & Design
GraphQL_Art_placebear3,1,44,44,44,0,0.00%,22.72727,321.93,2.77,14505,170,Art & Design
