Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,Api_No,Category
GraphQL_Music_api.lyrics.ovh5,1,306,306,306,0,0.00%,3.26797,4.57,0.49,1431,249,Music
GraphQL_Music_api.lyrics.ovh6,1,204,204,204,0,0.00%,4.90196,7.02,0.66,1467,250,Music
GraphQL_Social_a.4cdn.org,1,516,516,516,0,0.00%,1.93798,69.21,0.24,36567,251,Social
GraphQL_Social_hacker-news1,1,241,241,241,0,0.00%,4.14938,3.04,0.65,749,252,Social
GraphQL_Social_hacker-news2,1,41,41,41,0,0.00%,24.39024,14.98,3.91,629,253,Social
GraphQL_Social_hacker-news3,1,37,37,37,0,0.00%,27.02703,30.12,4.3,1141,254,Social
GraphQL_Social_hacker-news4,1,41,41,41,0,0.00%,24.39024,55.88,3.88,2346,255,Social
GraphQL_Social_hacker-news5,1,44,44,44,0,0.00%,22.72727,16.53,3.62,745,256,Social
GraphQL_Social_hacker-news6,1,40,40,40,0,0.00%,25,11.91,3.98,488,257,Social
GraphQL_Social_opencollective.com1,1,6056,6056,6056,0,0.00%,0.16513,67.54,0.03,418867,258,Social
GraphQL_Social_opencollective.com2,1,556,556,556,0,0.00%,1.79856,12.11,0.28,6894,259,Social
GraphQL_Social_opencollective.com3,1,430,430,430,0,0.00%,2.32558,14.85,0.4,6537,260,Social
GraphQL_Security_data.police.uk1,1,902,902,902,0,0.00%,1.10865,3.4,0.16,3141,261,Security
GraphQL_Security_http-observatory.security.mozilla1,1,507,507,507,0,0.00%,1.97239,6.07,0.34,3151,262,Security
GraphQL_Security_http-observatory.security.mozilla2,1,80,80,80,0,0.00%,12.5,6.92,2.14,567,263,Security
GraphQL_Security_http-observatory.security.mozilla3,1,100,100,100,0,0.00%,10,8.44,1.66,864,264,Security
GraphQL_Security_tls-observatory.services.mozilla1,1,232,232,232,0,0.00%,4.31034,14.52,0.69,3450,265,Security
GraphQL_Security_tls-observatory.services.mozilla2,1,77,77,77,0,0.00%,12.98701,79.81,2,6293,266,Security
GraphQL_Security_tls-observatory.services.mozilla3,1,79,79,79,0,0.00%,12.65823,42.93,2.05,3473,267,Security
GraphQL_Security_tls-observatory.services.mozilla4,1,74,74,74,0,0.00%,13.51351,9.75,2.12,739,268,Security
GraphQL_Security_data.police.uk2,1,102,102,102,0,0.00%,9.80392,28.7,1.24,2998,269,Security
GraphQL_Security_data.police.uk3,1,174,174,174,0,0.00%,5.74713,19.31,0.85,3440,270,Security
GraphQL_Transport_api.aviationapi,1,1496,1496,1496,0,0.00%,0.66845,2021.45,0.09,3096663,271,Transport
GraphQL_Transport_bcferriesapi.ca1,1,662,662,662,0,0.00%,1.51057,84.31,0.21,57152,272,Transport
GraphQL_Transport_bcferriesapi.ca2,1,709,709,709,0,0.00%,1.41044,37.8,0.55,27444,273,Transport
GraphQL_Transport_refugeGraphQLrooms1,1,3171,3171,3171,0,0.00%,0.31536,1.66,0.07,5380,274,Transport
GraphQL_Transport_refugeGraphQLrooms2,1,2969,2969,2969,0,0.00%,0.33681,0.34,0.08,1032,275,Transport
GraphQL_Transport_refugeGraphQLrooms3,1,30107,30107,30107,0,100.00%,0.03321,0.07,0,2093,276,Transport
GraphQL_Transport_refugeGraphQLrooms4,1,6656,6656,6656,0,0.00%,0.15024,0.79,0.03,5357,277,Transport
GraphQL_Transport_myttc.ca,1,511,511,511,0,0.00%,1.95695,13.11,0.31,6858,278,Transport
GraphQL_Transport_v0.ovapi1,1,1098,1098,1098,0,0.00%,0.91075,454.36,0.11,510865,279,Transport
GraphQL_Transport_v0.ovapi2,1,297,297,297,0,0.00%,3.367,1838.18,0.42,559041,280,Transport
GraphQL_Movie_anapioficeandfire1,1,289,289,289,0,0.00%,3.46021,5.55,0.49,1643,281,Movie
GraphQL_Movie_anapioficeandfire2,1,101,101,101,0,0.00%,9.90099,247.78,1.32,25626,282,Movie
GraphQL_Movie_breakingbadquotes1,1,303,303,303,0,0.00%,3.30033,1.82,0.45,566,283,Movie
GraphQL_Movie_breakingbadquotes2,1,46,46,46,0,0.00%,21.73913,17.62,2.99,830,284,Movie
GraphQL_Movie_finalspaceapi1,1,240,240,240,0,0.00%,4.16667,7.05,0.52,1732,285,Movie
GraphQL_Movie_finalspaceapi2,1,10112,10112,10112,0,100.00%,0.09889,0.04,0.01,433,286,Movie
GraphQL_Movie_gameofthronesquotes1,1,1123,1123,1123,0,0.00%,0.89047,0.6,0.12,692,287,Movie
GraphQL_Movie_gameofthronesquotes2,1,68,68,68,0,0.00%,14.70588,21,2.05,1462,288,Movie
GraphQL_Movie_lucifer-quotes1,1,343,343,343,0,0.00%,2.91545,1.69,0.4,594,289,Movie
GraphQL_Movie_lucifer-quotes2,1,148,148,148,0,0.00%,6.75676,7.03,0.94,1065,290,Movie
GraphQL_Weather_7timer1,1,181,181,181,0,0.00%,5.52486,83.49,1.11,15474,291,Weather
GraphQL_Weather_7timer2,1,330,330,330,0,0.00%,3.0303,24.34,1.08,8225,292,Weather
GraphQL_Weather_api.open-meteo1,1,680,680,680,0,0.00%,1.47059,8.63,0.37,6006,293,Weather
GraphQL_Weather_api.open-meteo2,1,104,104,104,0,0.00%,9.61538,124.47,2.22,13256,294,Weather
GraphQL_Weather_api.open-meteo3,1,895,895,895,0,0.00%,1.11732,226.26,0.25,207367,295,Weather
GraphQL_Weather_tilecache.rainviewer1,1,249,249,249,0,0.00%,4.01606,34.74,0.66,8858,296,Weather
GraphQL_Weather_tilecache.rainviewer2,1,21,21,21,0,100.00%,47.61905,23.58,8.28,507,297,Weather
GraphQL_Weather_api.weather.gov1,1,160,160,160,0,0.00%,6.25,22.78,0.87,3732,298,Weather
GraphQL_Weather_api.weather.gov2,1,301,301,301,0,100.00%,3.32226,3.28,0.48,1011,299,Weather
GraphQL_Weather_tilecache.rainviewer3,1,21,21,21,0,100.00%,47.61905,23.58,8.7,507,300,Weather
