Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Rest_Animal_Dog_Kindduff,490,24352,9653,41125,41586,438860,4905,442311,0.000%,1.10492,1.12,0.31
Rest_Animal_Dog_Ceo,483,3615,322,1102,1850,16742,208,442181,0.414%,.71108,2.51,0.18
Rest_Animal_HttpCat,481,4612,204,1140,1960,17562,122,604859,0.000%,.70859,14.33,0.17
Rest_Animal_Meowfacts,481,96,55,76,91,1085,41,3126,0.000%,.70906,1.33,0.09
Rest_Animal_Placebear,480,7693,5558,16394,19382,23746,295,85389,0.000%,.70670,12.08,0.17
Rest_Animal_shibe,479,914,194,663,1173,7230,149,169816,0.000%,.70560,0.72,0.11
Rest_Animal_RandomFox,476,1001,310,1086,1713,8137,222,76224,0.000%,.70160,3.54,0.17
Rest_Animal_Xeno_Canto,467,14568,510,9764,22121,398279,473,634294,83.726%,.65850,73.35,0.20
Rest_Animal_Open_Pet_Food_Fact,465,5185,606,2291,3921,76567,584,455542,1.075%,.61090,9.75,0.18
Rest_Animal_MoveBank,455,4328,890,2542,5010,60323,863,441184,1.099%,.59795,10.38,0.19
Rest_Art_Artic1,455,3654,39,696,922,64129,24,453817,1.099%,.59925,1.86,0.12
Rest_Art_Artic2,455,163,13,664,737,1295,6,7148,0.000%,.59987,1.87,0.12
Rest_Art_Colourlovers,454,221,111,191,758,2465,83,8886,0.000%,.59898,0.33,0.15
Rest_Art_Emojihub,453,1661,379,935,1108,4527,277,183173,0.000%,.59752,0.18,0.08
Rest_Art_collectionapi1,453,2654,622,9276,9867,10657,99,183053,0.221%,.59805,0.76,0.10
Rest_Art_collectionapi2,316,353794,427411,657854,659038,664042,1780,682463,53.797%,.41588,453.86,0.03
Rest_Art_collectionapi3,310,43917,31090,90691,92714,424883,791,448851,3.871%,.41238,1.25,0.07
Rest_Art_placebear1,309,6345,4209,14706,19738,24625,249,42555,0.000%,.41231,6.83,0.05
Rest_Art_placebear2,307,2552,142,9113,12761,17928,0,20094,13.681%,.40984,5.44,0.04
Rest_Art_placebear3,305,1928,149,6052,8967,15213,0,31524,5.902%,.40717,5.48,0.05
Rest_Business_tenders.guru1,305,32434,19900,71345,108687,113194,491,120486,21.967%,.37531,3.24,0.05
Rest_Business_tenders.guru2,305,22842,12053,60108,63018,111967,137,120312,16.066%,.33788,0.30,0.04
Rest_Business_tenders.guru3,305,24835,15177,53711,60106,70480,200,101276,6.230%,.32099,5.17,0.05
Rest_Business_api.domainsdb,303,14185,1608,32660,33291,33829,297,36971,0.000%,.31299,4.07,0.05
Rest_Business_freelancer,303,257,39,171,1072,4182,29,18415,0.000%,.31383,0.54,0.04
Rest_Business_tenders.guru4,303,39398,33534,60345,66304,120313,174,121879,25.083%,.30756,0.64,0.04
Rest_Business_tenders.guru5,303,31566,27340,60636,61610,83412,190,120342,11.881%,.28576,2.77,0.04
Rest_Business_tenders.guru6,303,32581,28025,60334,61444,83314,154,167328,10.561%,.24685,0.46,0.03
Rest_Business_tenders.guru7,303,36037,31997,60430,65435,90209,3893,169875,8.251%,.24245,89.92,0.03
Rest_Business_smallbusinessbc.ca,303,12191,7578,21819,47279,79087,3044,98394,4.950%,.22258,34.13,0.04
Rest_Calendar_calapi.inadiutorium1,303,2370,355,6267,11253,25931,226,66107,0.660%,.22338,0.11,0.04
Rest_Calendar_calapi.inadiutorium2,303,1037,149,1594,5460,15643,112,39781,0.000%,.22350,0.11,0.04
Rest_Calendar_calapi.inadiutorium3,303,851,140,747,3426,14701,112,30177,0.000%,.22353,0.12,0.03
Rest_Calendar_date.nager.at1,303,7788,405,25933,42655,78815,81,100832,11.881%,.22124,0.64,0.03
Rest_Calendar_date.nager.at2,303,3330,55,6727,28006,52034,27,61401,4.290%,.22139,0.42,0.03
Rest_Calendar_date.nager.at3,303,1815,103,1313,3623,31626,32,167867,1.320%,.22087,4.49,0.03
Rest_Calendar_github_isdayoff,303,8818,2901,24886,42500,76492,516,113021,13.531%,.21869,50.15,0.03
Rest_Calendar_calapi1,303,1776,193,5917,8179,25746,114,48081,0.000%,.21705,2.09,0.03
Rest_Calendar_calapi2,303,898,166,1725,4529,13224,115,30142,0.000%,.21646,1.94,0.03
Rest_Calendar_calapi3,303,1005,158,1434,4161,18025,115,33124,0.000%,.21487,1.99,0.03
TOTAL,28316,10926,369,25825,39730,129128,0,682463,8.804%,15.88061,1413.99,2.69
