Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_animal_1,1000,14710,9714,22883,2835.4,0.00%,43.6605,841.26,48.95,19730.6
GraphQL_animal_2,1000,15249,11557,26264,3120.93,0.00%,27.30152,681.52,253.18,25561.8
GraphQL_animal_3,1000,14743,10132,24901,3455.86,0.00%,26.69799,512.05,40.23,19639.8
GraphQL_animal_4,1000,14150,12796,22103,1301.29,0.00%,26.72796,343.95,26.41,13177.3
GraphQL_animal_5,1000,14680,13247,72632,3383.12,0.00%,10.90239,138.36,4.71,12995.2
GraphQL_animal_6,1000,14850,3408,72369,3275.06,0.20%,12.33471,226.39,5.23,18794.7
GraphQL_animal_7,1000,15112,560,25275,3846.79,0.00%,14.84494,334.08,6.29,23045
GraphQL_animal_8,1000,13731,102,75911,2555.17,0.00%,10.4247,132.66,4.42,13031.4
GraphQL_animal_9,1000,14276,80,61191,3282.24,0.10%,11.16283,144.58,10.07,13262.8
GraphQL_animal_10,1000,12948,89,62201,10466.64,1.30%,12.83088,183.53,14.38,14646.7
GraphQL_art_1,1000,45682,112,3091286,312881.84,100.00%,0.31736,0.87,0,2821.5
GraphQL_art_2,1000,24151,111,3025636,199701.04,100.00%,0.31907,0.88,0,2820.6
GraphQL_art_3,1000,226,69,1947,161.04,75.97%,11.92544,180.75,1.48,15520.8
GraphQL_art_4,1000,131,49,7865,278.29,91.85%,11.69201,64.46,1.53,5645.9
GraphQL_art_5,1000,2580,47,2353443,75072.57,95.11%,0.40556,1.72,0.05,4347.7
GraphQL_art_6,1000,2596,47,2394913,76424.16,93.27%,0.39575,2.21,0.05,5720.7
GraphQL_art_7,1000,199,49,47034,1684.11,92.04%,6.33767,34.16,0.83,5519.4
GraphQL_art_8,1000,29645,111,3034064,233586.77,100.00%,0.31496,0.87,0,2820.8
GraphQL_art_9,1000,161923,111,3108092,629533.75,100.00%,0.30901,0.85,0,2826.5
GraphQL_art_10,1000,889166,119,3107105,1299241.01,100.00%,0.29279,0.82,0,2856.4
GraphQL_business_SpaceX_1,1000,4253,244,249322,13668.33,1.43%,1.90459,0.74,0.57,397.4
GraphQL_business_SpaceX_2,1000,4352,76,241215,24564.85,1.27%,1.9077,0.86,0.54,462.5
GraphQL_business_SpaceX_3,1000,3688,181,249285,18804.03,0.00%,1.88665,5.8,0.57,3148
GraphQL_business_SpaceX_4,1000,3327,182,108175,10001.56,0.00%,1.87969,4.53,0.78,2466
