Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_security_fake _10,100,66,33,713,104.64,84.54%,0.54748,0.48,0.2,898.6
GraphQL_transport_1,100,4187,93,10139,4817.52,40.21%,0.51821,0.73,0.14,1449.5
GraphQL_transport_2,100,4427,38,29996,5513.33,41.24%,0.49515,0.71,0.13,1463.5
GraphQL_transport_3,100,4204,38,10182,4910.42,41.24%,0.47238,0.76,0.12,1648.8
GraphQL_transport_4,100,4539,39,29786,5523.52,42.27%,0.45101,0.73,0.12,1665.6
GraphQL_transport_5,100,4344,39,10176,4909.5,42.27%,0.43138,0.71,0.11,1682
GraphQL_transport_6,100,4626,37,29997,5559.53,43.30%,0.41375,0.61,0.1,1513.1
GraphQL_transport_7,100,4432,38,10185,4931.84,43.30%,0.3969,0.62,0.1,1597.4
GraphQL_transport_8,100,4441,38,10191,4943.31,43.30%,0.3815,0.6,0.1,1599.7
GraphQL_transport_9,100,5193,36,29997,6173.97,46.39%,0.3694,0.59,0.09,1649.3
GraphQL_transport_10,100,4725,37,10195,4977.31,46.39%,0.35614,0.62,0.09,1772.4
GraphQL_movie_star_war_1,100,5428,91,10168,4909.91,52.58%,0.3439,1.58,0.08,4694.1
GraphQL_movie_star_war_2,100,5735,39,29953,5515.45,53.61%,0.33222,1.04,0.06,3201.3
GraphQL_movie_star_war_3,100,12490,40,692963,69627.08,53.61%,0.10638,0.29,0.02,2804.9
GraphQL_movie_star_war_4,100,12414,39,667836,67433.93,54.17%,0.10529,0.26,0.02,2498.3
GraphQL_movie_star_war_5,100,20918,38,790339,104356.02,55.79%,0.1042,0.19,0.02,1862.4
GraphQL_movie_star_war_6,100,13948,39,789477,81006.12,54.84%,0.10201,0.48,0.03,4861.2
GraphQL_movie_star_war_7,100,5835,39,29991,5553.79,55.44%,0.26881,0.48,0.05,1833
GraphQL_movie_star_war_8,100,5629,39,10180,4974.93,55.44%,0.26113,0.91,0.07,3550.9
GraphQL_movie_star_war_9,100,5627,40,10179,4976.8,55.44%,0.25395,0.64,0.03,2585.1
