Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_fakeemail_country_1,1,294,294,294,0.00,0.000%,3.40136,7.18,1.12,2163.0
GraphQL_fakeemail_country_2,1,97,97,97,0.00,0.000%,10.30928,3.32,3.66,330.0
GraphQL_fakeemail_country_3,1,97,97,97,0.00,0.000%,10.30928,3.76,5.70,373.0
GraphQL_fakeemail_country_4,1,98,98,98,0.00,0.000%,10.20408,3.07,6.37,308.0
GraphQL_fakeemail_country_5,1,96,96,96,0.00,0.000%,10.41667,2.95,7.22,290.0
GraphQL_fakeemail_country_6,1,96,96,96,0.00,0.000%,10.41667,2.83,5.30,278.0
GraphQL_fakeemail_country_7,1,97,97,97,0.00,0.000%,10.30928,3.10,5.23,308.0
GraphQL_fakeemail_country_8,1,34,34,34,0.00,0.000%,29.41176,26.60,7.41,926.0
GraphQL_fakeemail_country_9,1,96,96,96,0.00,0.000%,10.41667,2.95,5.79,290.0
GraphQL_fakeemail_country_10,1,96,96,96,0.00,0.000%,10.41667,1.90,4.43,187.0
TOTAL,10,110,34,294,64.08,0.000%,9.05797,4.82,4.35,545.3
