Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_animal_1,20,621,300,1079,198.63,0.000%,12.78772,786.06,14.34,62945.3
GraphQL_animal_2,20,463,246,666,131.31,0.000%,17.98561,1079.92,166.79,61484.6
GraphQL_animal_3,20,433,271,590,101.99,0.000%,14.91424,832.12,22.47,57132.7
GraphQL_animal_4,20,408,226,812,171.65,0.000%,15.63722,842.95,15.45,55200.5
GraphQL_animal_5,20,410,236,741,148.61,0.000%,13.07190,678.36,5.64,53140.1
GraphQL_animal_6,20,495,191,1033,223.52,0.000%,12.17285,631.47,5.16,53120.1
GraphQL_animal_7,20,391,265,711,113.98,0.000%,11.32503,587.43,4.80,53115.4
GraphQL_animal_8,20,372,241,611,106.65,0.000%,10.55409,547.46,4.47,53117.1
GraphQL_animal_9,20,304,202,456,64.39,0.000%,11.26126,613.44,10.16,55780.5
GraphQL_animal_10,20,355,220,564,109.05,0.000%,11.38952,700.10,12.77,62943.8
GraphQL_art_1,20,1145,1045,1321,61.31,0.000%,8.13339,1927.04,1.42,242615.5
GraphQL_art_2,20,586,340,1237,247.86,0.000%,8.92459,2086.93,1.33,239452.6
GraphQL_art_3,20,230,106,502,80.05,0.000%,9.70403,586.68,1.20,61908.4
GraphQL_art_4,20,108,54,254,56.23,5.000%,12.39157,691.14,1.62,57113.4
GraphQL_art_5,20,99,62,119,11.91,5.000%,13.64256,927.37,1.61,69607.6
GraphQL_art_6,20,446,70,1080,370.25,5.000%,13.81215,946.97,1.67,70206.4
GraphQL_art_7,20,95,64,141,18.37,5.000%,37.87879,2112.70,4.96,57114.0
GraphQL_art_8,20,653,530,846,73.65,0.000%,16.83502,3881.00,2.89,236064.3
GraphQL_art_9,20,536,335,916,186.59,0.000%,14.31639,3394.59,2.50,242802.6
GraphQL_art_10,20,414,287,697,99.19,0.000%,13.35113,3336.17,1.93,255876.6
GraphQL_business_SpaceX_1,20,405,240,655,119.58,0.000%,12.98701,4.58,3.93,361.0
GraphQL_business_SpaceX_2,20,80,78,90,2.76,0.000%,20.68252,8.71,5.88,431.0
GraphQL_business_SpaceX_3,20,216,180,335,47.37,0.000%,16.40689,50.44,4.92,3148.0
GraphQL_business_SpaceX_4,20,197,179,304,25.78,0.000%,16.46091,39.64,6.80,2466.0
GraphQL_business_SpaceX_5,20,233,178,341,59.49,0.000%,16.51528,7.34,11.74,455.0
GraphQL_business_SpaceX_6,20,233,178,325,59.86,0.000%,16.63894,11.96,8.63,736.0
GraphQL_business_SpaceX_7,20,264,204,392,61.54,0.000%,16.23377,251.02,7.58,15834.0
GraphQL_business_SpaceX_8,20,208,176,323,45.68,0.000%,16.70844,8.24,8.17,505.0
GraphQL_business_SpaceX_9,20,205,181,328,39.64,0.000%,16.51528,31.05,10.87,1925.0
GraphQL_business_SpaceX_10,20,204,184,323,29.11,0.000%,17.12329,126.57,7.93,7569.0
GraphQL_calendar_1,20,302,207,467,78.44,0.000%,16.93480,2012.58,2.61,121695.0
GraphQL_calendar_2,20,340,131,750,192.60,0.000%,13.37793,3433.36,2.27,262803.3
GraphQL_calendar_3,20,490,145,1533,380.51,0.000%,7.82473,2008.18,1.33,262805.0
GraphQL_calendar_4,20,600,157,1670,348.15,0.000%,6.59848,1693.51,1.12,262811.0
GraphQL_calendar_5,20,302,86,1018,281.00,0.000%,7.19942,527.28,0.96,74996.4
GraphQL_calendar_6,20,660,143,1263,297.52,0.000%,5.41126,1402.71,0.74,265441.8
GraphQL_calendar_7,20,709,199,1583,426.07,0.000%,5.82751,1510.57,0.80,265434.2
GraphQL_calendar_8,20,746,226,1680,380.62,0.000%,5.53097,1433.74,0.76,265441.8
GraphQL_calendar_9,20,559,199,1196,280.72,0.000%,6.46621,1676.15,0.88,265437.2
GraphQL_calendar_10,20,492,111,1486,396.14,0.000%,7.60746,1971.90,1.04,265427.2
GraphQL_develop_github_1,20,364,283,575,100.13,0.000%,7.97766,52.40,3.27,6726.5
GraphQL_develop_github_2,20,195,145,435,71.09,0.000%,9.26784,124.41,3.53,13746.5
GraphQL_develop_github_3,20,160,133,201,16.61,0.000%,9.43841,145.75,4.36,15812.5
GraphQL_develop_github_4,20,393,330,701,91.25,0.000%,8.56531,1678.28,5.69,200641.6
GraphQL_develop_github_5,20,150,113,205,17.96,0.000%,11.14206,149.58,4.16,13746.6
GraphQL_develop_github_6,20,119,108,151,10.56,0.000%,11.38304,51.13,6.30,4599.6
GraphQL_develop_github_7,20,116,105,142,7.95,0.000%,11.35074,37.61,4.74,3392.6
GraphQL_develop_github_8,20,116,108,135,6.24,0.000%,11.60766,38.36,4.75,3383.6
GraphQL_develop_github_9,20,141,120,176,13.71,0.000%,11.35074,74.56,4.66,6726.6
GraphQL_develop_github_10,20,134,118,159,9.84,0.000%,11.48106,92.09,4.74,8213.6
GraphQL_develop_github_11,20,115,104,155,10.03,0.000%,11.57407,43.48,6.00,3846.6
GraphQL_develop_github_12,20,119,108,147,10.38,0.000%,11.40251,42.83,5.98,3846.6
GraphQL_develop_github_13,20,114,107,125,4.65,0.000%,11.41553,42.88,6.01,3846.6
GraphQL_develop_github_14,20,119,107,180,16.66,0.000%,11.39601,42.81,5.99,3846.6
GraphQL_develop_github_15,20,113,106,119,4.05,0.000%,11.34430,42.61,5.96,3846.6
GraphQL_develop_github_16,20,115,109,130,5.33,0.000%,11.41553,50.07,5.32,4491.6
GraphQL_develop_github_17,20,115,107,132,5.97,0.000%,11.43511,50.16,5.33,4491.6
GraphQL_develop_github_18,20,174,154,215,16.00,0.000%,10.95890,83.21,4.59,7775.6
GraphQL_develop_github_19,20,109,99,150,10.26,0.000%,11.25492,14.06,4.50,1279.6
GraphQL_develop_github_20,20,121,111,137,5.44,0.000%,11.14827,29.58,4.51,2716.6
GraphQL_fakeemail_country_1,20,38,24,111,19.39,0.000%,11.77856,10.60,2.88,921.4
GraphQL_fakeemail_country_2,20,9,7,27,4.73,0.000%,12.09921,10.89,3.12,921.4
GraphQL_fakeemail_country_3,20,9,7,33,6.53,0.000%,12.11387,10.90,4.84,921.4
GraphQL_fakeemail_country_4,20,9,7,40,7.31,0.000%,12.11387,10.90,4.84,921.4
GraphQL_fakeemail_country_5,20,10,6,64,12.34,0.000%,12.11387,10.90,5.28,921.4
GraphQL_fakeemail_country_6,20,11,7,79,15.67,0.000%,12.09190,10.88,3.31,921.4
GraphQL_fakeemail_country_7,20,7,6,14,1.69,0.000%,12.09190,10.88,3.41,921.4
GraphQL_fakeemail_country_8,20,7,6,13,1.46,0.000%,12.08459,10.87,3.04,921.4
GraphQL_fakeemail_country_9,20,11,6,80,15.71,0.000%,12.06273,10.85,3.59,921.4
GraphQL_fakeemail_country_10,20,8,7,14,1.92,0.000%,12.04094,10.84,3.59,922.0
GraphQL_finance_1,20,1228,314,2816,631.14,0.000%,6.35728,3.03,2.63,488.0
GraphQL_finance_2,20,345,64,1388,419.52,35.000%,9.89120,4.40,4.70,455.1
GraphQL_finance_3,20,448,70,1376,425.61,30.000%,8.83392,3.97,3.52,459.8
GraphQL_finance_4,20,196,77,696,166.11,30.000%,8.76424,3.94,3.62,459.8
GraphQL_finance_5,20,254,87,1101,239.75,15.000%,8.43882,3.58,2.75,434.8
GraphQL_finance_6,20,193,71,764,181.92,30.000%,8.48896,3.17,3.30,382.8
GraphQL_finance_7,20,222,72,1072,238.56,15.000%,8.49618,13.09,4.04,1578.0
GraphQL_finance_8,20,152,76,458,77.15,25.000%,8.39983,12.23,3.82,1491.2
GraphQL_finance_9,20,188,70,693,136.97,15.000%,8.24402,4.27,4.52,530.9
GraphQL_finance_10,20,244,76,1069,237.23,5.000%,8.26446,2.93,4.38,363.6
GraphQL_game_1,20,1155,807,2828,478.77,0.000%,3.99042,1218.90,6.16,312788.0
GraphQL_game_2,20,784,504,1228,243.08,0.000%,3.83436,1171.23,5.92,312788.0
GraphQL_game_3,20,363,115,1044,227.81,0.000%,4.14164,2.56,7.81,632.0
GraphQL_game_4,20,317,114,536,132.52,0.000%,4.15628,2.57,7.83,632.0
GraphQL_game_5,20,968,539,2220,418.69,0.000%,3.59777,1098.96,5.56,312788.0
GraphQL_game_6,20,196,90,455,130.47,0.000%,3.90625,2.33,6.68,610.0
GraphQL_game_7,20,132,90,394,81.11,0.000%,4.06091,2.81,6.27,709.0
GraphQL_game_8,20,179,86,506,126.50,0.000%,4.29646,3.76,6.64,896.0
GraphQL_game_9,20,176,85,901,194.69,0.000%,4.55581,6.07,7.04,1364.0
GraphQL_game_10,20,195,96,543,151.32,0.000%,5.08001,71.83,8.21,14479.0
GraphQL_music_1,20,160,145,208,13.04,0.000%,5.60852,9.07,1.54,1656.0
GraphQL_music_2,20,188,149,452,73.06,0.000%,5.63698,2.84,3.10,515.0
GraphQL_music_3,20,190,142,552,91.09,0.000%,5.64493,9.13,1.55,1656.0
GraphQL_music_4,20,169,148,341,40.10,0.000%,6.22471,10.07,1.71,1656.0
GraphQL_music_5,20,169,148,251,26.42,0.000%,6.21697,10.05,1.71,1656.0
GraphQL_music_6,20,171,144,419,57.62,0.000%,6.19195,10.01,1.71,1656.0
GraphQL_music_7,20,167,141,324,37.62,0.000%,6.31912,10.22,1.74,1656.0
GraphQL_music_8,20,173,147,321,41.61,0.000%,6.32511,10.23,1.74,1656.0
